path,height,width,px_size,mm_size,size_class,cluster
/home/aubrey/Desktop/gpepp_nursery/32/32-016.png,7,9,9,0.2474226804123711,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-007.png,12,14,14,0.3848797250859107,0.3-to-0.4-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-010.png,7,8,8,0.2199312714776632,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-008.png,11,12,12,0.3298969072164948,0.3-to-0.4-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-035.png,8,10,10,0.274914089347079,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-047.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-048.png,14,8,14,0.3848797250859107,0.3-to-0.4-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-025.png,6,9,9,0.2474226804123711,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-039.png,8,7,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/32/32-032.png,7,6,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-053.png,8,16,16,0.4398625429553264,0.4-to-0.5-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-033.png,7,6,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-052.png,10,11,11,0.3024054982817869,0.3-to-0.4-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-029.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-002.png,8,7,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/32/32-037.png,6,6,6,0.1649484536082474,0.1-to-0.2-mm,3
/home/aubrey/Desktop/gpepp_nursery/32/32-055.png,13,9,13,0.3573883161512027,0.3-to-0.4-mm,0
/home/aubrey/Desktop/gpepp_nursery/32/32-049.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-038.png,6,12,12,0.3298969072164948,0.3-to-0.4-mm,0
/home/aubrey/Desktop/gpepp_nursery/32/32-003.png,8,6,8,0.2199312714776632,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-043.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-036.png,10,6,10,0.274914089347079,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/32/32-004.png,7,8,8,0.2199312714776632,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-023.png,7,6,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-018.png,11,8,11,0.3024054982817869,0.3-to-0.4-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-001.png,7,6,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-026.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-006.png,8,7,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/32/32-028.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-050.png,51,25,51,1.402061855670103,1-to-2-mm,0
/home/aubrey/Desktop/gpepp_nursery/32/32-013.png,6,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-054.png,7,6,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-020.png,41,109,109,2.996563573883161,2-to-3-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-000.png,7,12,12,0.3298969072164948,0.3-to-0.4-mm,0
/home/aubrey/Desktop/gpepp_nursery/32/32-031.png,11,23,23,0.6323024054982818,0.6-to-0.7-mm,0
/home/aubrey/Desktop/gpepp_nursery/32/32-030.png,8,7,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/32/32-051.png,16,12,16,0.4398625429553264,0.4-to-0.5-mm,2
/home/aubrey/Desktop/gpepp_nursery/32/32-005.png,9,6,9,0.2474226804123711,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/32/32-034.png,8,10,10,0.274914089347079,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/32/32-012.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,3
/home/aubrey/Desktop/gpepp_nursery/32/32-021.png,7,8,8,0.2199312714776632,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/32/32-014.png,8,6,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/32/32-046.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,3
/home/aubrey/Desktop/gpepp_nursery/32/32-041.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,3
/home/aubrey/Desktop/gpepp_nursery/32/32-022.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/38/38-008.png,8,8,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/38/38-019.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/38/38-001.png,6,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/38/38-011.png,7,6,7,0.1924398625429553,0.1-to-0.2-mm,3
/home/aubrey/Desktop/gpepp_nursery/38/38-013.png,9,7,9,0.2474226804123711,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/38/38-012.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/38/38-003.png,6,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/38/38-010.png,6,6,6,0.1649484536082474,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/38/38-000.png,8,7,8,0.2199312714776632,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/38/38-022.png,10,11,11,0.3024054982817869,0.3-to-0.4-mm,1
/home/aubrey/Desktop/gpepp_nursery/38/38-018.png,8,7,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/38/38-020.png,7,8,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/38/38-015.png,7,8,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/38/38-021.png,8,9,9,0.2474226804123711,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/38/38-005.png,6,8,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/38/38-007.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/38/38-002.png,7,8,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/38/38-006.png,22,18,22,0.6048109965635738,0.6-to-0.7-mm,1
/home/aubrey/Desktop/gpepp_nursery/38/38-014.png,6,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/38/38-023.png,6,9,9,0.2474226804123711,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/38/38-024.png,7,9,9,0.2474226804123711,0.2-to-0.3-mm,0
